game_id,canonical_id,source_entry_index,Name,Vehicle Name,ShortVehicleName,XLASTID,VehicleManufacturer,VehicleModel,Vehicle Render Model,Driver Character,Vehicle Physics Model,Cockpit properties,Vehicle Properties,Vehicle Year,Shadow Width,Shadow Length,Shadow Offset Right,Shadow Offset Forward,Shadow Texture,Grid Grouping,Vehicle Class,Vehicle Group,Vehicle Shape,Engine Placement,Number of Exhausts,Exhaust Position 1,Exhaust Target Position 1,Exhaust Smoke Amount Multiplier,Number of Engine Heat,Engine Heat Position 1,Blown Engine Smoke Position,Vehicle Description,AI ONLY,Vehicle Initial Performance Index,Body Upgrades,Cockpit Upgrades,Tire Upgrades,Brake Upgrades,Tier,Price,Region,Country,Paint Shop Data,Min Front Wheel Diameter,Max Front Wheel Diameter,Min Rear Wheel Diameter,Max Rear Wheel Diameter,Max GUI Wheel Angle,PULC Package ID 360,PULC Package ID PS3,Client Vehicle Version,Vehicle Garage Rotation,Left Mirror Pos,Right Mirror Pos,AABBMin,AABBMax,User Overrides Base Helmet,User Overrides Base Outfit,Exhaust Backfire Mesh Cross-Section Scale,Exhaust Backfire Mesh Length Scale,Shadow Offset Up,Exhaust Position 2,Exhaust Target Position 2,PLAYER ONLY,DLC ID,PitSpeedLimit_HighKPH,Is Open Wheeler,LCD Mirror Pos,Scratch Texture,Safety Car Driver Name,Center Mirror Pos,Spawn In Pit,Exhaust Smoke Type,Vehicle Variant Oval,Vehicle Variant Short Oval,Vehicle Variant Speedway,Vehicle Variant Super Speedway,Blown Engine Smoke Scale,Exhaust Position 3,Exhaust Position 4,Exhaust Target Position 3,Exhaust Target Position 4,Livery DLC ID 1,Livery DLC Name 1,Livery DLC ID 2,Livery DLC Name 2,Vehicle Variant Short Track,Vehicle Physics Model Oval,Vehicle Physics Model Short Oval,Vehicle Physics Model Speedway,Vehicle Physics Model Super Speedway,Always Hide Helmet,Vehicle Physics Model Short Track,Exhaust Backfire Visual Effect Type,Manufacturer Liveries Category,CrewPropsCategory,IMSA Cockpit properties,Drafting Contrail Min Speed,Drafting Contrail Max Speed,Drafting Contrail Min Temperature,Drafting Contrail Max Temperature,Drafting Contrail Min Humidity,Drafting Contrail Disable When DRS Opened,Vehicle Variant High Downforce Track,Use Flat Shadow,F1DRSForbiddenLaps,Vertical Exhaust,Livery DLC ID 3,Livery DLC Name 3,Livery DLC ID 4,Livery DLC Name 4,Livery DLC ID 5,Livery DLC Name 5,Livery DLC ID 6,Livery DLC Name 6,Livery DLC ID 7,Livery DLC Name 7,Livery DLC ID 8,Livery DLC Name 8,Livery DLC ID 9,Livery DLC Name 9,Livery DLC ID 10,Livery DLC Name 10,Vehicle Name DLC Override DLC ID,Vehicle Name DLC Override,ShortVehicleName DLC Override,VehicleManufacturer DLC Override,has_headlights,headlights_source,downforce_variant,meta_class,discipline
Formula_USA_2022_SW-209,Formula_USA_2022_SW-209-fusagen3,596,Formula_USA_2022_SW,Formula USA 2022 - Speedway,Formula USA 22,209,Reiza,Formula USA,Formula_USA_2022_Oval.vhf,Formula_USA_2022,Formula_USA_2022_SW,Formula_USA_2022_Oval_Cockpit.bin,Formula_USA_2022_SW,2022,5.00,7.00,0,0,Formula_USA_2022_SW_ambsh.dds,1,F-USA_2022_SW,Openwheel,OpenWheel,Mid-Rear,2,0.397;0.477;1.064,0.322;0.610;1.229,0.1,1,0;0.600;0.640,0;0.600;0.640,,true,129,,,,,5,120000,SA,Brazil,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.5;0.706;-0.810,-0.5;0.706;-0.810,-1.5;-0.0;-4.0,1.5;1.7;4.0,,,,,,-0.397;0.477;1.064,-0.322;0.610;1.229,,,100.0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,F-USA Gen.3,Open Wheel
Formula_USA_2022_SO-215,Formula_USA_2022_SO-215-fusagen3,595,Formula_USA_2022_SO,Formula USA 2022 - Short Oval,Formula USA 22,215,Reiza,Formula USA,Formula_USA_2022_Short.vhf,Formula_USA_2022,Formula_USA_2022_SO,Formula_USA_2022_Short_Cockpit.bin,Formula_USA_2022_SO,2022,5.00,7.00,0,0,Formula_USA_2022_ambsh.dds,1,F-USA_2022_SO,Openwheel,OpenWheel,Mid-Rear,2,0.397;0.477;1.064,0.322;0.610;1.229,0.1,1,0;0.600;0.640,0;0.600;0.640,,true,129,,,,,5,120000,SA,Brazil,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.5;0.706;-0.810,-0.5;0.706;-0.810,-1.5;-0.0;-4.0,1.5;1.7;4.0,,,,,,-0.397;0.477;1.064,-0.322;0.610;1.229,,,100.0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,F-USA Gen.3,Open Wheel
Lamborghini_Diablo_GTR-56,Lamborghini_Diablo_GTR-56-gt3,663,Lamborghini_Diablo_GTR,Lamborghini Diablo GTR,Lamborghini Diablo GTR,56,Lamborghini,Diablo GTR,Lamborghini_Diablo_GTR.vhf,Lamborghini_Diablo_GTR,Lamborghini_Diablo_GTR,Lamborghini_Diablo_GTR_Cockpit.bin,Lamborghini_Diablo_GTR,1999,5.0,7.7,0,0,Lamborghini_Diablo_GTR_ambsh.dds,10,GTO,Prototype,GT,Mid,2,-0.084;0.334;2.05,-0.084;0.334;2.20,0.4,1,0;1.44;0.74,0;1.44;0.74,,false,395,,,,,5,1200000,EU,Italy,,13,20,13,20,,,,1,0.0;3.141592653589;0.0,1.0119;0.7209;-0.8382,-1.0119;0.7209;-0.8382,-1.5;-0.0;-4.0,1.5;1.6;4.0,,,2.2,2.0,,0.084;0.334;2.05,0.084;0.334;2.20,,,,,0.0050;0.5963;-0.8192,common_windscreen_scratches_02.dds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,GT3,GT
Caterham_620R-8,Caterham_620R-8-caterhamgra,469,Caterham_620R,Caterham 620R,Caterham 620R,8,Caterham,Caterham_620R,Caterham_620R.vhf,Caterham_620R,Caterham_620R,Caterham_620R_Cockpit.bin,Caterham_620R,2019,5.00,7.70,0,0,Caterham_620R_ambsh.dds,21,Cat620R,Openwheel,OpenWheel,Mid-Front,1,-0.762;0.168;0.685,-0.954;0.091;0.779,0.2,1,0;0.681;0.456,0;0.681;0.456,,false,129,,,,,5,120000,EU,UK,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.511;0.792;0.101,-0.511;0.792;0.101,-0.815;-0.001;-1.562,0.815;1.023;1.606,helmet_GT_Club_USER_OVERRIDE,outfit_GT_Club_USER_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,Caterham GrA,Club
Caterham_Supersport-11,Caterham_Supersport-11-caterhamgrb,472,Caterham_Supersport,Caterham Supersport,Caterham Supersport,11,Caterham,Caterham_Supersport,Caterham_Supersport.vhf,Caterham_Supersport,Caterham_Supersport,Caterham_Supersport_Cockpit.bin,Caterham_Supersport,2019,5.00,7.70,0,0,Caterham_Supersport_ambsh.dds,23,Cat_Supersport,Openwheel,OpenWheel,Mid-Front,1,-0.762;0.168;0.685,-0.954;0.091;0.779,0.2,1,0;0.681;0.456,0;0.681;0.456,,false,129,,,,,5,120000,EU,UK,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.616;0.791;0.156,-0.616;0.791;0.156,-1.5;-0.0;-4.35,1.5;1.5;4.0,helmet_GT_Club_USER_OVERRIDE,outfit_GT_Club_USER_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Caterham GrB,Club
Kart_GX390-54,Kart_GX390-54-kartinggx390,659,Kart_GX390,Kart 4-Stroke Race,Kart 4T Race,54,Reiza,Kart GX390,Kart_GX390.vhf,Kart_GX390,Kart_GX390,Kart_GX390_Cockpit.bin,Kart_GX390,2016,3.70,4.50,0.0,0.0,Kart_GX390_ambsh.dds,39,KartGX390,Kart,Kart,Mid-Rear,1,0.244;0.266;0.684,0.321;0.266;0.721,0.1,1,0;0.42;0.75,0;0.42;0.75,,false,458,,,,,5,120,EU,England,N/A,13,20,13,20,,,,18,0.0;3.141592653589;0.0,,,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_KART_USER_OVERRIDE,outfit_KART_USER_OVERRIDE,0.50,0.50,,,,,,,,,,SafetyKartDriver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Karting GX390,Karting
McLaren_MP45-181,McLaren_MP45-181-formulav10g2,727,McLaren_MP45,McLaren Honda MP4/5,McLaren MP4/5,181,McLaren,McLaren MP4/5,McLaren_MP45.vhf,McLaren_MP45,McLaren_MP45,McLaren_MP45_Cockpit.bin,McLaren_MP45,1989,5.00,7.50,0,0,McLaren_MP45_ambsh.dds,4,Mclaren_MP46,Openwheel,OpenWheel,Mid-Rear,2,0.213;0.151;1.652,0.213;0.151;1.952,0.1,1,0;0.65;0.95,0;0.65;0.95,,false,129,,,,,5,1,EU,England,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.288;0.624;-0.643,-0.288;0.624;-0.643,-1.5;-0.0;-3.825,1.5;1.5;4.0,DRIVER_80_USER_OVERRIDE,outfit_DRIVER_80_USER_OVERRIDE,,,,-0.213;0.151;1.652,-0.213;0.151;1.952,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Formula V10 G2,Open Wheel
Kart_GX390_Rental-53,Kart_GX390_Rental-53-kartingrental,660,Kart_GX390_Rental,Kart 4-Stroke Rental,Kart 4T Rental,53,Reiza,Kart Rental,Kart_GX390_Rental.vhf,Kart_GX390_Rental,Kart_GX390_Rental,Kart_GX390_Rental_Cockpit.bin,Kart_GX390_Rental,2016,3.70,4.50,0.0,0.0,Kart_GX390_Rental_ambsh.dds,40,KartRental,Kart,Kart,Mid-Rear,1,0.244;0.266;0.684,0.321;0.266;0.721,0.0,1,0;0.42;0.75,0;0.42;0.75,,false,458,,,,,5,120,EU,England,N/A,13,20,13,20,,,,18,0.0;3.141592653589;0.0,,,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_KART_USER_OVERRIDE,outfit_KART_USER_OVERRIDE,0.50,0.50,,,,,,,,,,SafetyKartDriver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Karting Rental,Karting
Puma_P052-95,Puma_P052-95-gt5,815,Puma_P052,Puma P052,Puma P052,95,Puma,Puma P052,Puma_P052.vhf,Puma_P052,Puma_P052,Puma_P052_Cockpit.bin,Puma_P052,2012,5.00,7.00,0,0,Puma_P052_ambsh.dds,25,GT5,GT5,GT,Mid-Rear,1,0.295;0.58;1.913,0.263;0.558;2.126,0.04,1,0;0.908;1.2,0;0.908;1.2,,false,129,,,,,5,120000,SA,Brazil,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.808;0.953;-0.375,-0.808;0.953;-0.375,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Modern_USER_OVERRIDE,outfit_GT_Modern_USER_OVERRIDE,,,,,,,,,,,,,0.01;1.067;-0.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,GT5,Club
Roco_001-96,Roco_001-96-p3,826,Roco 001,Roco 001,Roco 001,96,Roco,Roco 001,Roco.vhf,Roco,Roco,Roco_Cockpit.bin,Roco,2019,5.0,7.0,0,0,Roco_ambsh.dds,9,P3,P3,Prototype,Mid-Rear,1,0.0;0.450;1.938,0.0;0.254;2.159,0.4,1,0;0.450;-1.099,0;0.621;-1.099,,false,129,,,,,5,120000,SA,Brazil,N/A,18,19,18,19,20.0,,,1,0.0;3.141592653589;0.0,0.487;0.635;-0.714,-0.487;0.635;-0.714,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Modern_STOCK_USER_OVERRIDE,outfit_GT_Modern_STOCK_USER_OVERRIDE,2.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,P3,Endurance
Kart_01-52,Kart_01-52-karting125cc,657,Kart_01,Kart 2-Stroke 125cc Direct,Kart 2T 125cc,52,Reiza,Kart,Kart_01.vhf,Kart_01,Kart_01,Kart_01_Cockpit.bin,Kart_01,2016,3.70,4.50,0.0,0.0,Kart_01_ambsh.dds,38,Kart125cc,Kart,Kart,Mid-Rear,1,0.231;0.266;0.678,0.501;0.266;0.809,1.0,1,-0.2696;0.2295;0.2337,-0.2696;0.2295;0.2337,,false,458,,,,,5,120,EU,England,N/A,13,20,13,20,,,,18,0.0;3.141592653589;0.0,,,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_KART_USER_OVERRIDE,outfit_KART_USER_OVERRIDE,0.50,0.50,,,,,,,,,,SafetyKartDriver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Karting 125CC,Karting
Puma_GTB-93,Puma_GTB-93-copaclassicclassfl,812,Puma_GTB,Puma GTB,Puma GTB,93,Puma,Puma GTB,Puma_GTB.vhf,Puma_GTB,Puma_GTB,Puma_GTB_Cockpit.bin,Puma_GTB,1981,5.0,7.0,0,0,Puma_GTB_ambsh.dds,27,CopaClassicFL,GT,GT,Front,1,0.367;0.378;2.037,0.367;0.378;2.187,0.6,1,0;0.867;-1.331,0;0.867;-1.33,,false,107,,,,,5,1,SA,Brazil,N/A,13,20,13,20,,,,1,0.0;3.141592653589;0.0,0.842;0.916;-0.294,,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Club_USER_OVERRIDE,outfit_GT_Club_USER_OVERRIDE,2.125,2.5,,,,false,,,,,,,-0.011;1.121;-0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,Copa Classic (Class: FL),Club
Sigma_P1-98,Sigma_P1-98-p2,831,Sigma_P1,Sigma P1,Sigma P1,98,Sigma,Sigma P1,Sigma_P1.vhf,Sigma_P1,Sigma_P1,Sigma_P1_Cockpit.bin,Sigma_P1,2020,5.0,7.7,0,0,Sigma_P1_ambsh.dds,8,P2,P2,Prototype,Mid-Rear,1,0.0;0.668;1.474,0.0;0.912;1.695,0.1,1,0;0.8;-1.50,0;0.8;-1.50,,false,129,,,,,5,120000,SA,Brazil,N/A,18,19,18,19,20.0,,,1,0.0;3.141592653589;0.0,0.855;0.790;-0.998,-0.855;0.790;-0.998,-1.5;-0.0;-4.0,1.5;1.6;4.0,helmet_GT_Modern_STOCK_USER_OVERRIDE,outfit_GT_Modern_STOCK_USER_OVERRIDE,2.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,P2,Endurance
